綜合其他,#genre#
民視第一台,http://localhost:5050/4gtv-live403/index.m3u8
民視第一台,http://localhost:5050/4gtv-4gtv003/index.m3u8
民視台灣台,http://localhost:5050/4gtv-live401/index.m3u8
民視台灣台,http://localhost:5050/4gtv-4gtv001/index.m3u8
民視,http://localhost:5050/4gtv-live215/index.m3u8
民視,http://localhost:5050/4gtv-4gtv002/index.m3u8
大愛電視,http://localhost:5050/4gtv-live007/index.m3u8
中視,http://localhost:5050/4gtv-4gtv040/index.m3u8
華視,http://localhost:5050/4gtv-4gtv041/index.m3u8
三立綜合台,http://localhost:5050/4gtv-live207/index.m3u8
客家電視,http://localhost:5050/4gtv-4gtv043/index.m3u8
靖天綜合,http://localhost:5050/4gtv-4gtv046/index.m3u8
靖天日本,http://localhost:5050/4gtv-4gtv047/index.m3u8
新唐人亞太台,http://localhost:5050/4gtv-live050/index.m3u8
ARIRANG阿里郎頻道,http://localhost:5050/4gtv-4gtv079/index.m3u8
原住民族電視台,http://localhost:5050/4gtv-4gtv080/index.m3u8
東森購物四台,http://localhost:5050/4gtv-live049/index.m3u8
東森購物一台,http://localhost:5050/4gtv-live047/index.m3u8
東森購物一台,http://localhost:5050/of-4gtv-4gtv102/index.m3u8
東森購物二台,http://localhost:5050/4gtv-live046/index.m3u8
東森購物二台,http://localhost:5050/of-4gtv-4gtv103/index.m3u8
靖天育樂,http://localhost:5050/4gtv-4gtv062/index.m3u8
KLT-靖天國際台,http://localhost:5050/4gtv-4gtv063/index.m3u8
NICE TV 靖天歡樂台,http://localhost:5050/4gtv-4gtv054/index.m3u8
靖天資訊,http://localhost:5050/4gtv-4gtv065/index.m3u8
韓國娛樂台,http://localhost:5050/4gtv-4gtv016/index.m3u8
東森購物三台,http://localhost:5050/4gtv-live048/index.m3u8
好消息,http://localhost:5050/litv-ftv16/index.m3u8
好消息2台,http://localhost:5050/litv-ftv17/index.m3u8
大愛二台,http://localhost:5050/4gtv-live106/index.m3u8
人間衛視,http://localhost:5050/4gtv-live008/index.m3u8
國會頻道1台,http://localhost:5050/4gtv-4gtv084/index.m3u8
國會頻道2台,http://localhost:5050/4gtv-4gtv085/index.m3u8
中視,http://localhost:5050/of-4gtv-4gtv040/index.m3u8
華視,http://localhost:5050/of-4gtv-4gtv041/index.m3u8
好消息,http://localhost:5050/of-litv-ftv16/index.m3u8
好消息2台,http://localhost:5050/of-litv-ftv17/index.m3u8
國會頻道1台,http://localhost:5050/of-4gtv-4gtv084/index.m3u8
國會頻道2台,http://localhost:5050/of-4gtv-4gtv085/index.m3u8
DayStar,http://localhost:5050/daystar/index.m3u8
愛爾達寵物運動台,http://localhost:5050/4gtv-4gtv070/index.m3u8
ROCK Entertainment,http://localhost:5050/4gtv-live080/index.m3u8
